xaxis,yaxis,filename,cluster,flog
43.70,23.06,13600.00,0.00,12.10
40.75,13.74,19635.00,0.00,10.90
19.48,13.06,19593.00,0.00,8.30
39.16,26.17,19450.00,0.00,7.00
8.49,31.33,19422.00,0.00,14.00
41.60,20.56,19250.00,0.00,12.80
10.63,26.72,19109.00,0.00,25.00
15.75,35.54,19093.00,0.00,14.30
17.55,18.12,19059.00,0.00,13.00
22.75,32.65,19014.00,0.00,17.30
11.88,29.60,33213.00,0.00,12.60
11.83,11.02,18813.00,0.00,19.70
8.37,12.45,19705.00,0.00,29.90
11.10,30.86,18785.00,0.00,15.40
22.76,26.17,18718.00,0.00,18.80
34.64,22.06,18657.00,0.00,16.00
10.84,13.09,18631.00,0.00,14.60
22.75,27.31,18548.00,0.00,18.80
26.75,17.33,18515.00,0.00,12.90
12.09,19.87,18507.00,0.00,21.10
9.96,30.02,18420.00,0.00,18.20
35.15,22.51,18396.00,0.00,16.00
26.80,17.91,18382.00,0.00,12.90
37.61,18.10,18304.00,0.00,13.10
33.59,20.19,18298.00,0.00,20.10
9.49,31.91,18731.00,0.00,12.40
-22.24,-21.35,18249.00,0.00,21.10
41.19,15.76,19749.00,0.00,14.30
28.82,29.28,19830.00,0.00,10.60
28.55,17.76,21032.00,0.00,12.20
14.53,19.24,20916.00,0.00,14.40
8.27,11.65,20899.00,0.00,16.90
41.94,22.78,20716.00,0.00,9.60
26.64,17.84,20638.00,0.00,12.90
23.47,26.54,20572.00,0.00,20.10
14.03,35.43,20554.00,0.00,8.50
33.77,17.02,20491.00,0.00,19.10
27.79,30.29,20475.00,0.00,8.70
22.78,34.86,20416.00,0.00,13.80
9.69,30.68,20336.00,0.00,14.90
14.11,19.87,19808.00,0.00,13.80
12.36,23.59,20328.00,0.00,33.50
29.18,17.77,20308.00,0.00,12.60
14.26,10.92,20283.00,0.00,12.40
38.06,21.60,20268.00,0.00,12.60
23.35,35.31,20247.00,0.00,13.80
12.36,23.58,20157.00,0.00,33.40
25.13,18.58,20102.00,0.00,13.90
40.20,14.28,20082.00,0.00,14.80
24.29,29.00,20073.00,0.00,17.80
22.60,32.69,20027.00,0.00,16.00
13.98,19.80,19850.00,0.00,13.40
40.19,26.37,19847.00,0.00,15.70
43.12,21.53,20316.00,0.00,19.50
25.62,19.09,18220.00,0.00,12.90
37.06,14.15,18143.00,0.00,11.90
39.88,13.16,18106.00,0.00,12.70
7.59,11.74,17026.00,0.00,19.30
12.52,29.84,17009.00,0.00,12.60
22.17,32.44,17001.00,0.00,15.50
35.34,15.17,16995.00,0.00,15.00
37.43,20.70,16973.00,0.00,11.80
23.00,26.78,16934.00,0.00,18.80
27.76,30.53,16923.00,0.00,9.40
4.14,7.37,16882.00,0.00,18.80
